trimester,brand,noCards
2019/04/01,HSBC,1459018
2019/06/01,HSBC,1499100
2019/08/01,HSBC,1538423
2019/10/01,HSBC,1563559
2019/12/01,HSBC,1570791
2020/02/01,HSBC,1577159
2020/04/01,HSBC,1573649
2020/06/01,HSBC,1555371
2020/08/01,HSBC,1541993
2020/10/01,HSBC,1535702
2011/06/01,Invex,67849
2011/08/01,Invex,62936
2011/10/01,Invex,59571
2011/12/01,Invex,59379
2012/02/01,Invex,59651
2012/04/01,Invex,59062
2012/06/01,Invex,52913
2012/08/01,Invex,57159
2012/10/01,Invex,55054
2012/12/01,Invex,56501
2013/02/01,Invex,59408
2013/04/01,Invex,61084
2013/06/01,Invex,63427
2013/08/01,Invex,68367
2013/10/01,Invex,73212
2013/12/01,Invex,75572
2014/02/01,Invex,87067
2014/04/01,Invex,90809
2014/06/01,Invex,92501
2014/08/01,Invex,103413
2014/10/01,Invex,106107
2014/12/01,Invex,109416
2015/02/01,Invex,113220
2015/04/01,Invex,120055
2015/06/01,Invex,125538
2015/08/01,Invex,135475
2015/10/01,Invex,139951
2015/12/01,Invex,150940
2016/02/01,Invex,163823
2016/04/01,Invex,167881
2016/06/01,Invex,174698
2016/08/01,Invex,182397
2016/10/01,Invex,190414
2016/12/01,Invex,195888
2017/02/01,Invex,201789
2017/04/01,Invex,209210
2017/06/01,Invex,300411
2017/08/01,Invex,311111
2017/10/01,Invex,301718
2017/12/01,Invex,294129
2018/02/01,Invex,290607
2018/04/01,Invex,291172
2018/06/01,Invex,295632
2018/08/01,Invex,302120
2018/10/01,Invex,310962
2018/12/01,Invex,319870
2019/02/01,Invex,325464
2019/04/01,Invex,333696
2019/06/01,Invex,339847
2019/08/01,Invex,350080
2019/10/01,Invex,202937
2019/12/01,Invex,210391
2020/02/01,Invex,215347
2020/04/01,Invex,219117
2020/06/01,Invex,218262
2020/08/01,Invex,217116
2020/10/01,Invex,219809
2011/06/01,Scotiabank,338421
2011/08/01,Scotiabank,339656
2011/10/01,Scotiabank,365252
2011/12/01,Scotiabank,371140
2012/02/01,Scotiabank,374403
2012/04/01,Scotiabank,373366
2012/06/01,Scotiabank,371126
2012/08/01,Scotiabank,374223
2012/10/01,Scotiabank,388543
2012/12/01,Scotiabank,394253
2013/02/01,Scotiabank,392981
2013/04/01,Scotiabank,392664
2013/06/01,Scotiabank,394238
2013/08/01,Scotiabank,397404
2013/10/01,Scotiabank,402578
2013/12/01,Scotiabank,413477
2014/02/01,Scotiabank,435960
2014/04/01,Scotiabank,437046
2014/06/01,Scotiabank,441047
2014/08/01,Scotiabank,441951
2014/10/01,Scotiabank,442281
2014/12/01,Scotiabank,441859
2015/02/01,Scotiabank,429831
2015/04/01,Scotiabank,422126
2015/06/01,Scotiabank,430808
2015/08/01,Scotiabank,444193
2015/10/01,Scotiabank,453034
2015/12/01,Scotiabank,470870
2016/02/01,Scotiabank,554177
2016/04/01,Scotiabank,565522
2016/06/01,Scotiabank,574910
2016/08/01,Scotiabank,568575
2016/10/01,Scotiabank,574399
2016/12/01,Scotiabank,593282
2017/02/01,Scotiabank,609181
2017/04/01,Scotiabank,617743
2017/06/01,Scotiabank,631642
2017/08/01,Scotiabank,649639
2017/10/01,Scotiabank,661495
2017/12/01,Scotiabank,674843
2018/02/01,Scotiabank,688996
2018/04/01,Scotiabank,700280
2018/06/01,Scotiabank,716579
2018/08/01,Scotiabank,726128
2018/10/01,Scotiabank,739701
2018/12/01,Scotiabank,760114
2019/02/01,Scotiabank,764850
2019/04/01,Scotiabank,773786
2019/06/01,Scotiabank,744495
2019/08/01,Scotiabank,754086
2019/10/01,Scotiabank,766177
2019/12/01,Scotiabank,746827
2020/02/01,Scotiabank,747030
2020/04/01,Scotiabank,732455
2020/06/01,Scotiabank,722928
2020/08/01,Scotiabank,707086
2020/10/01,Scotiabank,678064
